date,close,congestion
2023-02-15,3280.49,0.3544
2023-02-16,3249.03,0.3424
2023-02-17,3224.02,0.3686
2023-02-20,3290.34,0.3822
2023-02-21,3306.52,0.3764
2023-02-22,3291.15,0.3723
2023-02-23,3287.48,0.3699
2023-02-24,3267.16,0.3875
2023-02-27,3258.03,0.3638
2023-02-28,3279.61,0.3722
2023-03-01,3312.35,0.4004
2023-03-02,3310.65,0.38
2023-03-03,3328.39,0.3857
2023-03-06,3322.03,0.3909
2023-03-07,3285.1,0.3824
2023-03-08,3283.25,0.3878
2023-03-09,3276.09,0.3868
2023-03-10,3230.08,0.3799
2023-03-13,3268.7,0.3927
2023-03-14,3245.31,0.402
2023-03-15,3263.31,0.3903
2023-03-16,3226.89,0.4033
2023-03-17,3250.55,0.4193
2023-03-20,3234.91,0.4191
2023-03-21,3255.65,0.4003
2023-03-22,3265.75,0.4076
2023-03-23,3286.65,0.4343
2023-03-24,3265.65,0.4237
2023-03-27,3251.4,0.4326
2023-03-28,3245.38,0.4182
2023-03-29,3240.06,0.4335
2023-03-30,3261.25,0.4399
2023-03-31,3272.86,0.4392
2023-04-03,3296.4,0.4514
2023-04-04,3312.56,0.4533
2023-04-06,3312.63,0.4607
2023-04-07,3327.65,0.4351
2023-04-10,3315.36,0.4365
2023-04-11,3313.57,0.4463
2023-04-12,3327.18,0.4363
2023-04-13,3318.36,0.417
2023-04-14,3338.15,0.4187
2023-04-17,3385.61,0.4023
2023-04-18,3393.33,0.4303
2023-04-19,3370.13,0.4336
2023-04-20,3367.03,0.4416
2023-04-21,3301.26,0.4242
2023-04-24,3275.41,0.4349
2023-04-25,3264.87,0.4241
2023-04-26,3264.1,0.4435
2023-04-27,3285.88,0.4327
2023-04-28,3323.27,0.4201
2023-05-04,3350.46,0.4134
2023-05-05,3334.5,0.4289
2023-05-08,3395.0,0.4423
2023-05-09,3357.67,0.4517
2023-05-10,3319.15,0.4569
2023-05-11,3309.55,0.4275
2023-05-12,3272.36,0.4162
2023-05-15,3310.74,0.4298
2023-05-16,3290.99,0.4191
2023-05-17,3284.23,0.4082
2023-05-18,3297.32,0.4208
2023-05-19,3283.54,0.4132
2023-05-22,3296.47,0.3838
2023-05-23,3246.24,0.3831
2023-05-24,3204.75,0.4092
2023-05-25,3201.26,0.4115
2023-05-26,3212.5,0.4189
2023-05-29,3221.45,0.4219
2023-05-30,3224.21,0.4348
2023-05-31,3204.56,0.4342
2023-06-01,3204.63,0.4227
2023-06-02,3230.07,0.4053
2023-06-05,3232.44,0.4019
2023-06-06,3195.34,0.3984
2023-06-07,3197.76,0.4126
2023-06-08,3213.59,0.4033
2023-06-09,3231.41,0.4177
2023-06-12,3228.83,0.3991
2023-06-13,3233.67,0.4312
2023-06-14,3228.99,0.435
2023-06-15,3252.98,0.4286
2023-06-16,3273.33,0.4274
2023-06-19,3255.81,0.4317
2023-06-20,3240.36,0.4508
2023-06-21,3197.9,0.4343
2023-06-26,3150.62,0.4162
2023-06-27,3189.44,0.3953
2023-06-28,3189.38,0.408
2023-06-29,3182.38,0.4005
2023-06-30,3202.06,0.3842
2023-07-03,3243.98,0.3911
2023-07-04,3245.35,0.3907
2023-07-05,3222.95,0.3829
2023-07-06,3205.57,0.4009
2023-07-07,3196.61,0.3975
2023-07-10,3203.7,0.3807
2023-07-11,3221.37,0.3872
2023-07-12,3196.13,0.399
2023-07-13,3236.48,0.3971
2023-07-14,3237.7,0.4094
2023-07-17,3209.63,0.3897
2023-07-18,3197.82,0.3818
2023-07-19,3198.84,0.378
2023-07-20,3169.52,0.385
2023-07-21,3167.75,0.3762
2023-07-24,3164.16,0.3789
2023-07-25,3231.52,0.4157
