stock_code,result
600210,"
StockCode: 600210, Final Capital: 13282.00 CNY, Winning Rate: 57.14%,持仓：0, 最后一次购买日期为：2025-02-28 00:00:00, 买入价格：7.23"
600189,"
StockCode: 600189, Final Capital: 9297.20 CNY, Winning Rate: 42.86%,持仓：0, 最后一次购买日期为：2025-02-12 00:00:00, 买入价格：7.62"
600206,"
StockCode: 600206, Final Capital: 17037.62 CNY, Winning Rate: 37.50%,持仓：1, 最后一次购买日期为：2025-04-17 00:00:00, 买入价格：18.28"
600166,"
StockCode: 600166, Final Capital: 10001.52 CNY, Winning Rate: 42.86%,持仓：0, 最后一次购买日期为：2025-03-19 00:00:00, 买入价格：2.51"
600182,"
StockCode: 600182, Final Capital: 10220.96 CNY, Winning Rate: 55.56%,持仓：0, 最后一次购买日期为：2025-02-12 00:00:00, 买入价格：16.74"
600178,"
StockCode: 600178, Final Capital: 10229.88 CNY, Winning Rate: 22.22%,持仓：0, 最后一次购买日期为：2025-03-19 00:00:00, 买入价格：13.31"
600177,"
StockCode: 600177, Final Capital: 10948.90 CNY, Winning Rate: 54.55%,持仓：0, 最后一次购买日期为：2025-03-04 00:00:00, 买入价格：8.33"
600192,"
StockCode: 600192, Final Capital: 9315.86 CNY, Winning Rate: 27.27%,持仓：0, 最后一次购买日期为：2025-03-07 00:00:00, 买入价格：6.89"
600203,"
StockCode: 600203, Final Capital: 12705.00 CNY, Winning Rate: 27.27%,持仓：0, 最后一次购买日期为：2025-03-11 00:00:00, 买入价格：12.36"
600200,"
StockCode: 600200, Final Capital: 11601.00 CNY, Winning Rate: 75.00%,持仓：0, 最后一次购买日期为：2024-12-02 00:00:00, 买入价格：10.49"
600163,"
StockCode: 600163, Final Capital: 9803.00 CNY, Winning Rate: 30.00%,持仓：1, 最后一次购买日期为：2025-04-16 00:00:00, 买入价格：5.34"
600201,"
StockCode: 600201, Final Capital: 11537.83 CNY, Winning Rate: 55.56%,持仓：0, 最后一次购买日期为：2025-03-19 00:00:00, 买入价格：7.60"
600188,"
StockCode: 600188, Final Capital: 10669.47 CNY, Winning Rate: 50.00%,持仓：0, 最后一次购买日期为：2025-03-13 00:00:00, 买入价格：13.65"
600208,"
StockCode: 600208, Final Capital: 13882.56 CNY, Winning Rate: 44.44%,持仓：0, 最后一次购买日期为：2025-03-18 00:00:00, 买入价格：3.22"
600169,"
StockCode: 600169, Final Capital: 13132.00 CNY, Winning Rate: 50.00%,持仓：0, 最后一次购买日期为：2025-03-21 00:00:00, 买入价格：2.73"
600196,"
StockCode: 600196, Final Capital: 12353.01 CNY, Winning Rate: 75.00%,持仓：0, 最后一次购买日期为：2025-04-02 00:00:00, 买入价格：25.46"
600202,"
StockCode: 600202, Final Capital: 9836.29 CNY, Winning Rate: 50.00%,持仓：0, 最后一次购买日期为：2025-04-01 00:00:00, 买入价格：6.23"
600195,"
StockCode: 600195, Final Capital: 8317.12 CNY, Winning Rate: 22.22%,持仓：0, 最后一次购买日期为：2025-04-15 00:00:00, 买入价格：7.09"
600207,"
StockCode: 600207, Final Capital: 10640.00 CNY, Winning Rate: 57.14%,持仓：0, 最后一次购买日期为：2025-03-11 00:00:00, 买入价格：4.59"
600172,"
StockCode: 600172, Final Capital: 17634.00 CNY, Winning Rate: 62.50%,持仓：0, 最后一次购买日期为：2025-03-11 00:00:00, 买入价格：4.46"
600161,"
StockCode: 600161, Final Capital: 10127.69 CNY, Winning Rate: 42.86%,持仓：1, 最后一次购买日期为：2025-04-16 00:00:00, 买入价格：21.03"
600168,"
StockCode: 600168, Final Capital: 11814.54 CNY, Winning Rate: 42.86%,持仓：0, 最后一次购买日期为：2025-03-21 00:00:00, 买入价格：4.81"
600197,"
StockCode: 600197, Final Capital: 9947.87 CNY, Winning Rate: 40.00%,持仓：0, 最后一次购买日期为：2024-12-13 00:00:00, 买入价格：18.53"
600199,"
StockCode: 600199, Final Capital: 10919.00 CNY, Winning Rate: 25.00%,持仓：0, 最后一次购买日期为：2024-12-12 00:00:00, 买入价格：15.51"
600176,"
StockCode: 600176, Final Capital: 10282.96 CNY, Winning Rate: 50.00%,持仓：0, 最后一次购买日期为：2025-04-01 00:00:00, 买入价格：12.95"
600191,"
StockCode: 600191, Final Capital: 8880.09 CNY, Winning Rate: 33.33%,持仓：0, 最后一次购买日期为：2025-04-16 00:00:00, 买入价格：8.21"
600212,"
StockCode: 600212, Final Capital: 12527.00 CNY, Winning Rate: 40.00%,持仓：0, 最后一次购买日期为：2025-04-01 00:00:00, 买入价格：9.75"
600219,"
StockCode: 600219, Final Capital: 12399.14 CNY, Winning Rate: 66.67%,持仓：0, 最后一次购买日期为：2025-02-11 00:00:00, 买入价格：4.05"
600221,"
StockCode: 600221, Final Capital: 19302.00 CNY, Winning Rate: 75.00%,持仓：0, 最后一次购买日期为：2024-12-11 00:00:00, 买入价格：1.98"
600215,"
StockCode: 600215, Final Capital: 8224.20 CNY, Winning Rate: 25.00%,持仓：0, 最后一次购买日期为：2025-04-17 00:00:00, 买入价格：9.74"
600217,"
StockCode: 600217, Final Capital: 12776.00 CNY, Winning Rate: 42.86%,持仓：0, 最后一次购买日期为：2025-02-20 00:00:00, 买入价格：5.54"
600216,"
StockCode: 600216, Final Capital: 11298.00 CNY, Winning Rate: 30.00%,持仓：0, 最后一次购买日期为：2025-02-27 00:00:00, 买入价格：16.02"
600222,"
StockCode: 600222, Final Capital: 10889.73 CNY, Winning Rate: 36.36%,持仓：0, 最后一次购买日期为：2025-03-19 00:00:00, 买入价格：5.43"
600211,"
StockCode: 600211, Final Capital: 11074.67 CNY, Winning Rate: 50.00%,持仓：0, 最后一次购买日期为：2025-04-03 00:00:00, 买入价格：38.70"
600218,"
StockCode: 600218, Final Capital: 10687.11 CNY, Winning Rate: 50.00%,持仓：0, 最后一次购买日期为：2025-03-17 00:00:00, 买入价格：9.67"
600229,"
StockCode: 600229, Final Capital: 9700.66 CNY, Winning Rate: 33.33%,持仓：0, 最后一次购买日期为：2025-02-12 00:00:00, 买入价格：7.36"
600226,"
StockCode: 600226, Final Capital: 10584.00 CNY, Winning Rate: 44.44%,持仓：1, 最后一次购买日期为：2025-04-21 00:00:00, 买入价格：2.91"
