stock_code,result
600113,"
StockCode: 600113, Final Capital: 17428.0 CNY, Winning Rate: 30.3%, 持仓：0, 最后一次购买日期为：2025-04-15 00:00:00, 买入价格：14.17"
600114,"
StockCode: 600114, Final Capital: 14430.0 CNY, Winning Rate: 43.75%, 持仓：0, 最后一次购买日期为：2025-04-25 00:00:00, 买入价格：19.33"
600106,"
StockCode: 600106, Final Capital: 24232.0 CNY, Winning Rate: 43.33%, 持仓：1, 最后一次购买日期为：2025-04-29 00:00:00, 买入价格：5.14"
600110,"
StockCode: 600110, Final Capital: 17264.0 CNY, Winning Rate: 20.0%, 持仓：0, 最后一次购买日期为：2025-05-13 00:00:00, 买入价格：3.52"
600116,"
StockCode: 600116, Final Capital: 5218.0 CNY, Winning Rate: 21.62%, 持仓：0, 最后一次购买日期为：2025-04-25 00:00:00, 买入价格：6.92"
600108,"
StockCode: 600108, Final Capital: 6713.0 CNY, Winning Rate: 21.95%, 持仓：0, 最后一次购买日期为：2025-05-16 00:00:00, 买入价格：2.97"
600111,"
StockCode: 600111, Final Capital: 16186.0 CNY, Winning Rate: 32.26%, 持仓：0, 最后一次购买日期为：2025-05-07 00:00:00, 买入价格：24.22"
600107,"
StockCode: 600107, Final Capital: 11169.0 CNY, Winning Rate: 41.94%, 持仓：1, 最后一次购买日期为：2025-05-22 00:00:00, 买入价格：4.07"
600109,"
StockCode: 600109, Final Capital: 9165.0 CNY, Winning Rate: 32.26%, 持仓：0, 最后一次购买日期为：2025-04-25 00:00:00, 买入价格：8.19"
600115,"
StockCode: 600115, Final Capital: 8380.0 CNY, Winning Rate: 21.62%, 持仓：1, 最后一次购买日期为：2025-05-20 00:00:00, 买入价格：3.79"
600120,"
StockCode: 600120, Final Capital: 18533.0 CNY, Winning Rate: 34.38%, 持仓：0, 最后一次购买日期为：2025-04-29 00:00:00, 买入价格：5.87"
600117,"
StockCode: 600117, Final Capital: 11395.0 CNY, Winning Rate: 28.12%, 持仓：0, 最后一次购买日期为：2025-05-07 00:00:00, 买入价格：2.14"
600123,"
StockCode: 600123, Final Capital: 12125.0 CNY, Winning Rate: 27.03%, 持仓：0, 最后一次购买日期为：2025-03-13 00:00:00, 买入价格：7.92"
600121,"
StockCode: 600121, Final Capital: 5944.0 CNY, Winning Rate: 19.44%, 持仓：0, 最后一次购买日期为：2025-05-14 00:00:00, 买入价格：3.74"
600126,"
StockCode: 600126, Final Capital: 26945.0 CNY, Winning Rate: 37.93%, 持仓：0, 最后一次购买日期为：2025-05-07 00:00:00, 买入价格：11.53"
600118,"
StockCode: 600118, Final Capital: 7963.0 CNY, Winning Rate: 23.53%, 持仓：0, 最后一次购买日期为：2025-05-08 00:00:00, 买入价格：27.23"
600127,"
StockCode: 600127, Final Capital: 6983.0 CNY, Winning Rate: 18.42%, 持仓：0, 最后一次购买日期为：2025-05-08 00:00:00, 买入价格：7.1"
600128,"
StockCode: 600128, Final Capital: 11509.0 CNY, Winning Rate: 31.58%, 持仓：0, 最后一次购买日期为：2025-05-13 00:00:00, 买入价格：10.24"
600129,"
StockCode: 600129, Final Capital: 18922.0 CNY, Winning Rate: 34.29%, 持仓：0, 最后一次购买日期为：2025-05-20 00:00:00, 买入价格：21.9"
600131,"
StockCode: 600131, Final Capital: 17825.0 CNY, Winning Rate: 51.85%, 持仓：0, 最后一次购买日期为：2025-05-08 00:00:00, 买入价格：18.54"
600136,"
StockCode: 600136, Final Capital: 14568.0 CNY, Winning Rate: 43.75%, 持仓：1, 最后一次购买日期为：2025-04-23 00:00:00, 买入价格：2.07"
600135,"
StockCode: 600135, Final Capital: 8604.0 CNY, Winning Rate: 35.29%, 持仓：1, 最后一次购买日期为：2025-05-09 00:00:00, 买入价格：7.19"
600132,"
StockCode: 600132, Final Capital: 9101.0 CNY, Winning Rate: 14.29%, 持仓：1, 最后一次购买日期为：2025-05-28 00:00:00, 买入价格：58.76"
600141,"
StockCode: 600141, Final Capital: 15532.0 CNY, Winning Rate: 34.38%, 持仓：1, 最后一次购买日期为：2025-05-06 00:00:00, 买入价格：20.48"
600143,"
StockCode: 600143, Final Capital: 7832.0 CNY, Winning Rate: 19.35%, 持仓：0, 最后一次购买日期为：2025-04-25 00:00:00, 买入价格：10.77"
600150,"
StockCode: 600150, Final Capital: 15439.0 CNY, Winning Rate: 38.71%, 持仓：0, 最后一次购买日期为：2025-04-29 00:00:00, 买入价格：29.52"
